insurer_name,insuredname,insuredCity,insuredstate,insuredpostalCode,natureOfincident,dateOfloss,injuryinvolved,loss_description,location_of_loss,claimNumber,vehicle_damages_1,vehicle_damages_2,injury_description,lawsuit_filed,providers_alternative_medicine,providers_alternative_medicine_tax_id,providers_alternative_medicine_payment,providers_chiropractor,providers_chiropractor_tax_id,providers_chiropractor_payment,providers_diagnostic_radiologist,providers_diagnostic_radiologist_tax_id,providers_diagnostic_radiologist_payment,providers_ER physician,providers_ER physician_tax_id,providers_ER physician_payment,providers_general_practitioner,providers_general_practitioner_tax_id,providers_general_practitioner_payment,providers_neurologist,providers_neurologist_tax_id,providers_neurologist_payment,providers_orthopedist,providers_orthopedist_tax_id,providers_orthopedist_payment,providers_physical_therapist,providers_physical_therapist_tax_id,providers_physical_therapist_payment,total_claimed_losses,total_insurance_payment
StateFarm,Richard Davis,Baileyton,GA,08866,Rear-end collision,2020-09-07,Yes,System within trade will camera night side television matter state myself goal.,"75723 Rachael Drives, Port Karenstad, GA 93918",f44c37dd,Front-end collision,,Bruises,Yes,"Hester, Hoffman and Cross",80-6062845,2510.84,Patterson-Hines,57-6712991,437.92,"Hancock, Anderson and Williams",85-3054210,4721.51,,,0.0,"Martinez, Blake and Wilcox",47-4120148,108.79,Rodriguez-Vazquez,91-8451094,2231.97,,,0.0,White-May,65-2253592,1024.46,13428.66,7527.68
Geico,Amanda Maldonado,West Curtiston,OH,35011,Collision,2022-12-04,No,Nor several describe south consumer expert look why poor which.,"PSC 6490, Box 5903, APO AE 90401",9f44ed98,Rear-end collision,,,No,"Collins, Martin and Edwards",77-6481964,4180.46,"Weaver, Elliott and Reilly",45-6830867,2935.68,,,0.0,"Tate, Miller and Rhodes",38-0337373,4441.19,,,0.0,Jones PLC,39-5128074,4282.12,,,0.0,"Atkins, Chambers and Woods",14-3948089,608.99,26012.41,20850.2
StateFarm,Mrs. Theresa Evans,Christineshire,NC,88897,Rear-end collision,2024-05-04,No,Himself career eight might painting machine edge low energy level skill sea.,"16274 Gabrielle Viaduct, Kimberlyview, GA 78529",9a9ea1bf,Front-end collision,,,No,,,0.0,,,0.0,,,0.0,,,0.0,"Miller, Collins and Andrade",74-3322414,3267.69,Brock-Potter,35-2482721,3589.54,,,0.0,,,0.0,15158.41,14191.5
Allstate,Erin Miller,Mariafurt,FL,37166,Rear-end collision,2024-12-27,Yes,Each product outside high Mrs site.,"947 Linda Falls, South James, HI 64016",a9eecfe2,Fender damage,,Neck sprain/strain,No,,,0.0,,,0.0,"Houston, Garcia and Berger",02-6484673,4841.01,"Hodge, Cowan and Gilbert",64-5438666,3161.61,,,0.0,,,0.0,,,0.0,"Collins, Orr and Martin",99-8865903,3415.6,15617.19,12862.94
Allstate,Sandra Blankenship,New Stephanie,CA,83229,Rear-end collision,2022-01-13,No,Character month movie eye necessary song miss to this.,"22785 Christopher Viaduct, Poolemouth, KY 49437",a450ebe1,Front-end collision,,,No,Solis-Smith,53-4481738,2176.12,,,0.0,"Jones, Walker and Fernandez",95-3813755,3471.17,,,0.0,,,0.0,,,0.0,,,0.0,"Martinez, Smith and Phillips",50-2741327,2363.39,14193.21,12538.2
StateFarm,Tonya Smith,North Monica,NC,00683,Collision,2022-03-12,Yes,Find his market material beat notice everything.,"257 Price Walk Suite 982, Matthewland, MP 60701",2b40165a,Front-end collision,Rear-end collision,Fracture,No,,,0.0,,,0.0,"Johnson, Moore and Thompson",77-8832144,4889.51,Perez Group,81-3145906,2854.07,Craig PLC,35-2453503,3958.4,Whitney-Brooks,54-0592543,1289.6,Hurst LLC,38-9137855,3930.9,,,0.0,23033.97,18582.22
Geico,Sharon Bishop,Andersenmouth,TX,74783,Single vehicle accident,2023-04-29,No,Best team catch billion program among participant must society ten key wind.,"75328 Clarke Lakes Suite 629, South Cassidyburgh, MA 37379",b001e3de,Front-end collision,Windshield crack,,Yes,Trevino LLC,27-6898984,2128.4,Holden Ltd,05-3483609,3118.94,"Thompson, Marshall and Underwood",76-6824409,1106.87,"Goodman, Gonzalez and Franklin",68-2793226,3770.76,Hernandez-Stewart,83-1386584,354.83,Harding-Mays,87-3736662,3470.76,,,0.0,"Turner, Evans and Webb",02-1259245,455.49,23812.15,12564.17
Allstate,Jason Frank,East Michael,TX,31747,Hit and run,2020-11-08,No,Difficult movie note career itself cause watch per up skin relationship.,"0984 Owens Spurs, Garciahaven, IN 10993",7f7e65aa,Windshield crack,Front-end collision,,No,Johnson-Zavala,03-0059292,1031.19,Molina-Knight,52-8250079,4288.0,"Johnson, Beck and Bates",73-2726643,4621.83,,,0.0,,,0.0,Davis and Sons,53-9090125,2696.14,"Franklin, Larson and Bennett",83-2408965,1295.13,,,0.0,16174.4,13986.39
Geico,Seth Roberts,East Jeffrey,TX,16312,Collision,2024-12-01,No,Your score democratic sound kind some where pick modern whose.,"58184 Jeffrey Trace Suite 230, West Eddieburgh, IN 46384",3c63f81d,Front-end collision,,,Yes,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,Shaw Group,05-2735236,2213.74,"Johnson, Ballard and Garcia",65-7053913,955.72,,,0.0,7666.8,5374.64
Allstate,Timothy Jordan,North Andrew,IL,97809,Hit and run,2022-09-27,Yes,Standard water weight case very vote when protect thing law region way.,"90221 Martinez Path, Johnmouth, LA 41268",528f62af,Side impact,Front-end collision,Disk injury,Yes,Haas-Armstrong,44-7610261,3860.12,,,0.0,Moore and Sons,68-9240894,4996.14,"Young, Brown and Shaw",22-8882291,4071.74,Hardy-Rosales,04-3984206,918.57,,,0.0,"Payne, Davis and Hampton",82-4695610,4772.37,,,0.0,24938.21,16970.29
Geico,Veronica Knight,Alexandrabury,OH,77645,Collision,2021-09-16,No,Difficult quickly away interesting success letter would write expert son life worker.,"599 Scott Orchard Suite 564, Port Jennifershire, NV 59554",add170cd,Side impact,Rear-end collision,,Yes,"Murray, Mccarthy and Martinez",67-8841043,4603.82,,,0.0,"Lewis, Walker and Cantu",60-0851263,1443.83,Williams LLC,34-3394260,407.68,"Pierce, Perry and Salinas",04-9044995,4847.34,"Hernandez, Tanner and Hall",90-0993539,2801.26,Molina-Vega,20-9930036,4748.67,"Johnson, Bond and Brown",31-4049536,1770.68,21405.57,20305.24
Geico,Melanie Ross,Keithhaven,CA,29430,Hit and run,2023-09-23,No,Each very court mother detail about protect officer.,"Unit 9134 Box 3572, DPO AE 88974",6fda2417,Side impact,Rear-end collision,,Yes,,,0.0,,,0.0,"Richardson, Franco and Moran",60-9591272,3355.93,,,0.0,,,0.0,,,0.0,,,0.0,Barker PLC,59-8288961,3406.05,10256.97,9607.7
Geico,Jessica Phillips,Byrdtown,GA,96246,Hit and run,2023-07-16,Yes,Bank include several scientist ago green fact if party.,"PSC 5627, Box 1617, APO AA 42411",c9b54c6a,Front-end collision,,Bruises,Yes,Mckinney-Adams,93-6281398,3765.34,Jimenez and Sons,37-7298541,1975.56,,,0.0,Young-Heath,74-2781539,1281.71,,,0.0,Singleton-Whitaker,93-6216931,1122.68,,,0.0,,,0.0,10428.2,9637.55
StateFarm,Tiffany Drake,Boydton,PA,56642,Hit and run,2025-08-18,Yes,Or natural book prepare of home quite claim.,"PSC 1741, Box 4439, APO AA 47735",5121bf9f,Rear-end collision,,Fracture,No,"Oneal, Gonzalez and Graves",15-7588039,3157.82,"Fernandez, Guerrero and Barr",42-9141516,965.74,,,0.0,Ross-Lucero,23-6492017,1534.46,,,0.0,Coleman PLC,01-9594206,2027.87,"Sims, Alvarez and Taylor",02-5321864,505.01,Crawford-King,57-3125187,2463.42,14413.31,12810.8
StateFarm,Jordan Schroeder,Tomland,CA,27800,Hit and run,2020-11-17,Yes,Religious attorney become board particular them wide.,"78020 Emily Gateway Suite 744, Brewerstad, MT 38580",bb9bb2e6,Fender damage,Side impact,Minor cuts,No,,,0.0,Adams LLC,16-5522684,967.64,,,0.0,,,0.0,,,0.0,Miller Inc,81-2200521,3330.57,,,0.0,Kelly LLC,98-1095167,1278.87,8735.99,8110.6
Geico,Jeremy Burke,Lake Michele,PA,08280,Rear-end collision,2023-04-06,Yes,Door pay second can region future letter research simple start response again.,"9293 Austin Stream Suite 428, North Glennmouth, AK 44484",2eac438b,Front-end collision,Side impact,Disk injury,No,,,0.0,"Andersen, Rivera and Carter",67-9543717,4806.76,"Dominguez, Young and Anderson",53-5511059,3737.19,Vazquez Inc,65-0472997,4003.92,,,0.0,,,0.0,,,0.0,Russell PLC,42-7404964,1002.25,15858.74,13709.94
StateFarm,Dustin Smith,East Lauren,IL,50752,Rear-end collision,2021-03-25,Yes,Accept event cost must enough type peace else however body thousand hot.,"941 Grimes Bridge Suite 192, Robertburgh, IA 34939",b04a68fd,Side impact,Rear-end collision,Knee injury,No,,,0.0,"Garcia, Burke and Garrett",74-7982557,4010.73,Mckenzie-Wood,59-1693075,2398.6,Mcconnell Inc,41-6883170,239.73,Bolton Group,15-7300042,2604.64,,,0.0,"Walker, Wood and Walls",94-5160729,3126.95,Walker-Lee,81-3820999,1382.72,19652.21,13728.34
StateFarm,Benjamin Conley,Jenniferport,GA,17610,Rear-end collision,2020-09-30,No,Form why tell test his this several change me table in.,"129 Leslie Locks Apt. 102, Jessicafurt, SD 04504",153920d8,Front-end collision,,,No,Stewart and Sons,92-6367664,4541.51,"Washington, Cox and Patel",93-6648789,2508.5,,,0.0,,,0.0,Harris Group,31-3221925,4837.57,King PLC,66-1723965,3638.55,,,0.0,,,0.0,19325.56,16953.79
Geico,Matthew Briggs,Birdbury,IL,33334,Hit and run,2024-08-14,No,Either red soon goal leave walk.,"15587 Rodriguez Lane, Michaelfort, MH 66710",18d8c591,Rear-end collision,Fender damage,,Yes,Clarke Ltd,41-3712964,3332.68,,,0.0,,,0.0,Davis-Hood,73-7007450,1923.87,Perez-Davis,52-8142147,256.34,Jacobson-Smith,01-6216209,3662.68,,,0.0,"Escobar, Carter and Thompson",87-3156791,2832.54,19852.3,11221.13
StateFarm,Samuel Hughes,Lake Diane,IL,74583,Single vehicle accident,2022-03-08,Yes,Sell parent how painting place stuff fact represent nature defense dog until.,"31126 Yvette Summit Suite 123, Freemanborough, MH 59579",83895841,Side impact,,Bruises,No,Hopkins PLC,01-8923747,2349.38,,,0.0,,,0.0,,,0.0,Morrison Inc,54-1567448,4229.39,Beck Inc,56-9803587,3303.84,"Ramirez, Brown and Cox",43-0621780,1696.32,Barajas Group,83-2092299,4842.89,21971.67,14523.53
Allstate,Anthony Watkins,West Christy,NC,40226,Collision,2025-07-18,Yes,Wall spring piece strong beyond position night outside goal PM thought rest speech voice.,"386 Stephen Expressway, Greerland, CA 25973",0b9a47ea,Side impact,,Minor cuts,Yes,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,Mcknight-Walker,54-2800344,1899.24,,,0.0,6430.25,3261.18
StateFarm,Teresa Lopez,East Frances,GA,44141,Rear-end collision,2025-08-31,No,Grow matter generation economy move feel operation future consumer manage letter.,"307 Sarah Prairie Suite 786, New Christy, UT 91852",a28d508c,Side impact,,,No,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,Moore PLC,47-8836502,4610.75,,,0.0,,,0.0,14269.02,11456.59
Allstate,Katherine Shah,Hillland,NC,77979,Hit and run,2025-08-14,No,From moment record bank ball forward consider character hope.,"540 Ralph Motorway, Shellytown, MI 15272",3259d063,Windshield crack,Front-end collision,,Yes,,,0.0,,,0.0,"Shelton, Farrell and Edwards",56-2410741,4532.15,Nelson and Sons,06-2733669,3717.66,,,0.0,,,0.0,"Quinn, Chen and Gardner",39-2478344,3039.19,Wilkins PLC,41-3135899,2083.74,15259.38,9937.23
Allstate,Patricia Ellis,Walshville,OH,64969,Rear-end collision,2022-02-24,No,Consider think financial lay tree human.,"581 Christy Place Apt. 822, New Christophermouth, KS 89436",63ef93b4,Fender damage,,,No,,,0.0,"Rich, Woods and Ross",21-8972371,148.04,,,0.0,,,0.0,Conway-Paul,85-2050648,101.09,Larson-Sanchez,94-1348779,1616.0,,,0.0,,,0.0,10441.46,5985.84
Allstate,Christopher York,West Michealtown,GA,07750,Collision,2021-02-09,Yes,Significant board fund why few rate move fast practice.,"954 Maria Station, Guerraport, NM 91722",e12a36e3,Rear-end collision,Front-end collision,Knee injury,Yes,Jones and Sons,67-4008121,2245.39,"Martin, Velasquez and Mitchell",98-6950780,413.85,Nguyen-Underwood,84-8836564,3280.73,"Morris, Padilla and Watkins",57-8921974,2413.68,"Morgan, Rivera and Williams",13-8520789,173.58,,,0.0,,,0.0,Thompson-Edwards,37-2325909,1458.4,19645.06,17248.63
Allstate,Austin Harris,West Howard,CA,13284,Single vehicle accident,2022-05-11,No,Available take lot behavior real matter produce difficult minute owner religious.,"8461 Sanders Turnpike Apt. 356, North Paul, ID 71942",ed39b633,Windshield crack,Front-end collision,,Yes,,,0.0,Johnson-Calderon,51-5955139,2261.4,Jones Group,27-8554060,3870.64,,,0.0,Collins PLC,64-4224239,1233.26,"Cox, Marks and Schmitt",53-8675121,3886.9,Dunn-Nelson,92-9173986,253.69,,,0.0,15619.74,14618.73
Allstate,Theresa Martinez,North William,OH,58063,Rear-end collision,2025-08-28,No,Drive process new eat Democrat teacher but wall Mr federal.,"4044 Jonathan Motorway, Vaughanville, OR 65673",74f3fc6e,Fender damage,Rear-end collision,,Yes,Allen-Turner,39-7813483,389.56,,,0.0,,,0.0,,,0.0,Cooper-Johnson,54-2967122,3771.64,"Snyder, Jackson and Mendoza",77-4511851,4869.41,Greene PLC,74-4430422,1078.17,"Richardson, Baker and Lewis",41-3090728,161.96,14850.7,9828.04
Geico,Melissa Gilbert,Petersonland,PA,66706,Collision,2022-12-17,No,These safe individual involve them necessary.,"64923 Joyce Mount, New Tyrone, CO 78611",c34a1aed,Fender damage,,,Yes,,,0.0,,,0.0,,,0.0,"Parker, Hammond and Alexander",15-2744408,2569.86,,,0.0,Rose-Jones,26-1697014,4123.64,,,0.0,"Smith, Jimenez and Nielsen",11-5691237,3066.94,12426.11,6689.74
Geico,Patricia Robinson,Johnsonview,OH,27113,Hit and run,2024-01-09,Yes,Mind quality billion notice situation name foot as.,"5144 Boyer Crest, Caseymouth, ID 54043",e6e9c127,Windshield crack,,Fracture,No,,,0.0,"Cole, Robertson and Brown",04-5280063,3307.44,,,0.0,,,0.0,,,0.0,Hawkins-Scott,84-5654684,4827.75,,,0.0,,,0.0,11767.71,8775.1
Geico,Matthew Elliott,Port Franciscobury,GA,39275,Hit and run,2025-06-07,No,Important station matter thought stop ten nation.,"797 Dawn Keys Apt. 886, Kingfort, ME 76374",f9dfb734,Windshield crack,,,Yes,Watson-Lee,42-9911400,3501.96,,,0.0,,,0.0,Richards-Beltran,74-8058026,3260.41,,,0.0,"Silva, Olson and Allen",59-0593811,527.06,,,0.0,Shepherd-Moore,82-2934894,2377.16,10382.78,9307.3
Geico,Tami Edwards,Kimborough,PA,15518,Hit and run,2023-04-21,No,Money several threat whether rate understand including act.,"6738 Green Pike Suite 922, West Elizabeth, ID 73322",36827b4f,Fender damage,Rear-end collision,,Yes,,,0.0,,,0.0,,,0.0,,,0.0,"Sanchez, Colon and Thomas",55-6340612,1111.2,,,0.0,"Zuniga, Rodriguez and Spence",46-5467856,1515.43,,,0.0,10287.55,5247.8
StateFarm,Melanie Hernandez,Coleside,IL,44916,Collision,2021-08-26,Yes,Remain argue send oil movie among expect unit.,"84144 Munoz Fields, Wrightview, SC 76279",9951fd94,Windshield crack,Side impact,Neck sprain/strain,Yes,,,0.0,Robertson Ltd,06-2862529,1727.65,Knight Inc,04-1028647,2750.93,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,5284.27,4049.66
Geico,Danielle Alvarez,New Tabithaport,CA,89461,Hit and run,2021-02-27,Yes,Garden bring make call protect mean heavy about indicate study just once.,"PSC 1909, Box 1200, APO AE 71776",379bf01f,Fender damage,,Shoulder injury,No,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,"Daniels, Martin and Wagner",26-0366708,3340.21,,,0.0,,,0.0,9653.35,7586.03
Allstate,Tara Wang,Beckymouth,FL,78622,Hit and run,2021-01-27,No,Certainly return put range concern eat another behavior my fight another tell all.,"007 Lloyd Ridge, North Jeffrey, KS 27545",8b4feee9,Side impact,,,Yes,,,0.0,,,0.0,"Hernandez, Wiggins and Wang",81-5950071,1684.82,Boyd-Nielsen,72-3231761,2118.54,,,0.0,,,0.0,,,0.0,,,0.0,6412.36,4259.36
Allstate,Eric Green,East Robert,TX,48880,Hit and run,2022-07-21,No,Somebody Republican onto around daughter hot factor provide ground main may investment.,"88287 Fitzgerald Islands, Staceychester, GU 89779",aacfdbc8,Rear-end collision,,,No,Austin Ltd,84-9687772,4256.95,,,0.0,,,0.0,Brewer-Bowen,03-5775531,1482.33,Harris PLC,62-0678651,640.07,,,0.0,"Marshall, Hernandez and Moore",59-4253950,3939.22,"Abbott, Nelson and Bowers",55-9257619,2760.69,19342.93,16607.48
Allstate,Alexandra Brown,East Emily,CA,55323,Rear-end collision,2022-01-24,No,Magazine need good great thank effect its he.,"216 Jones Tunnel, South Cherylton, PW 40709",a3650ff4,Front-end collision,Windshield crack,,Yes,"Munoz, Cruz and Griffith",64-5189543,4258.5,,,0.0,,,0.0,,,0.0,Brown Ltd,82-6926612,4936.22,,,0.0,Barron-Wang,13-2893859,4498.89,Mejia-Swanson,31-3169699,4751.51,25194.76,21837.38
Allstate,Brian Lane,Robersonshire,CA,99840,Single vehicle accident,2024-07-11,No,My TV realize class without short hand wear production dream tend.,"116 Sandra Circles, Anthonybury, CO 42646",47f29bae,Rear-end collision,,,No,Newman and Sons,76-8093512,2228.45,Beck and Sons,27-0484389,3941.41,,,0.0,,,0.0,Grant Group,06-3659576,817.8,,,0.0,,,0.0,Carter and Sons,90-7319756,4941.46,17722.2,11255.2
